date,value,unit,source,frequency,notes
2000-01-01,1680.28,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-02-01,1670.27,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-03-01,1577.05,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-04-01,1457.14,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-05-01,1466.79,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-06-01,1506.31,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-07-01,1563.5,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-08-01,1527.63,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-09-01,1601.21,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-10-01,1500.24,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-11-01,1473.86,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2000-12-01,1565.41,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-01-01,1615.65,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-02-01,1604.36,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-03-01,1509.17,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-04-01,1496.91,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-05-01,1538.77,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-06-01,1466.13,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-07-01,1416.39,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-08-01,1377.08,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-09-01,1344.56,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-10-01,1282.5,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-11-01,1327.46,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2001-12-01,1344.63,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-01-01,1368.59,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-02-01,1369.34,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-03-01,1405.0,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-04-01,1369.99,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-05-01,1343.3,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-06-01,1353.97,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-07-01,1338.09,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-08-01,1291.6,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-09-01,1301.25,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-10-01,1310.58,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-11-01,1372.2,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2002-12-01,1375.07,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-01-01,1378.28,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-02-01,1422.16,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-03-01,1389.27,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-04-01,1332.01,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-05-01,1398.49,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-06-01,1409.84,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-07-01,1436.09,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-08-01,1456.31,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-09-01,1415.57,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-10-01,1474.25,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-11-01,1508.34,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2003-12-01,1554.9,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-01-01,1606.49,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-02-01,1685.62,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-03-01,1655.99,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-04-01,1729.74,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-05-01,1623.22,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-06-01,1677.72,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-07-01,1709.27,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-08-01,1692.19,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-09-01,1723.6,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-10-01,1819.57,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-11-01,1813.9,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2004-12-01,1849.18,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-01-01,1834.42,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-02-01,1882.85,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-03-01,1979.85,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-04-01,1894.29,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-05-01,1743.7,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-06-01,1731.3,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-07-01,1778.79,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-08-01,1867.84,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-09-01,1839.91,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-10-01,1928.71,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-11-01,2050.59,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2005-12-01,2247.45,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2006-01-01,2377.86,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2006-02-01,2455.32,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2006-03-01,2429.13,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2006-04-01,2621.11,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2006-05-01,2861.48,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2006-06-01,2477.34,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
