date,value,unit,source,frequency,notes
2000-01-01,14437.5,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-02-01,14093.75,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-03-01,15225.0,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-04-01,16218.75,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-05-01,16543.48,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-06-01,14977.27,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-07-01,13071.43,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-08-01,13934.78,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-09-01,15029.76,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-10-01,16681.82,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-11-01,16000.0,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2000-12-01,16000.0,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2000 annual USD)
2001-01-01,13500.0,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2001 annual USD)
2001-02-01,13900.0,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2001 annual USD)
2001-03-01,14272.73,USD per metric ton,IMF Primary Commodity Price System (PCPS),Monthly (index-based reconstruction),IMF index × scale factor (anchored to 2001 annual USD)
