date,value,unit,source,frequency,notes
2000-01-01,29700.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2001-01-01,23300.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2002-01-01,17100.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2003-01-01,20600.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2004-01-01,43400.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2005-01-01,33600.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2006-01-01,30700.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2007-01-01,54600.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2008-01-01,68400.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2009-01-01,34200.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2010-01-01,39700.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2011-01-01,36100.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2012-01-01,30500.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2013-01-01,27900.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2014-01-01,30600.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2015-01-01,29200.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2016-01-01,25500.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2017-01-01,48400.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2018-01-01,63800.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2019-01-01,37900.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2020-01-01,34500.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
2021-01-01,44800.0,USD per metric ton,USGS Mineral Commodity Summaries,Annual,Reference only — IMF monthly used as primary
