date,value,unit,source,frequency,notes
2012-06-01,63643.22,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2012-07-01,63568.83,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2012-08-01,63682.98,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2012-09-01,64069.57,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2012-10-01,64650.8,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2012-11-01,64970.67,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2012-12-01,64966.89,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-01-01,65091.61,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-02-01,64976.63,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-03-01,65155.51,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-04-01,65464.67,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-05-01,65950.2,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-06-01,66020.67,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-07-01,66023.44,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-08-01,66157.09,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-09-01,66172.35,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-10-01,66349.8,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-11-01,66467.29,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2013-12-01,66673.82,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-01-01,66925.97,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-02-01,66601.2,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-03-01,65609.67,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-04-01,62763.45,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-05-01,62513.27,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-06-01,62586.79,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-07-01,62910.21,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-08-01,63367.34,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-09-01,63527.23,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-10-01,63666.21,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-11-01,63660.26,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2014-12-01,62990.89,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-01-01,62721.33,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-02-01,62376.58,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-03-01,62504.85,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-04-01,62879.05,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-05-01,62865.93,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-06-01,65774.04,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-07-01,66036.93,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-08-01,64690.82,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-09-01,64377.95,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-10-01,66928.63,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-11-01,69058.99,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2015-12-01,72882.48,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-01-01,72300.74,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-02-01,72545.63,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-03-01,78006.3,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-04-01,81775.71,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-05-01,103004.94,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-06-01,106175.68,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-07-01,104821.55,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-08-01,105275.51,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-09-01,104905.33,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-10-01,111785.54,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-11-01,116946.24,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2016-12-01,115548.93,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-01-01,116016.21,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-02-01,116384.73,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-03-01,115996.79,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-04-01,116089.78,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-05-01,116156.85,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-06-01,117521.68,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-07-01,118117.03,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-08-01,119918.18,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-09-01,121812.67,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-10-01,123644.6,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-11-01,132143.84,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2017-12-01,138042.44,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
