date,value,unit,source,frequency,notes
2000-01-01,4470.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2001-01-01,1490.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2002-01-01,1590.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2003-01-01,1550.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2004-01-01,1720.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2005-01-01,1460.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2006-01-01,2320.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2007-01-01,3530.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2008-01-01,4440.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2009-01-01,4530.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2010-01-01,4350.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2011-01-01,3870.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2012-01-01,4220.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2013-01-01,4390.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2014-01-01,4510.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2015-01-01,4540.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2016-01-01,4920.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2017-01-01,4900.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2018-01-01,7300.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2019-01-01,8030.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2020-01-01,6400.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
2021-01-01,6200.0,USD per metric ton (lithium carbonate),USGS Mineral Commodity Summaries,Annual,Original USGS carbonate prices — not normalized
