date,value,unit,source,frequency,notes
2000-01-01,23.2,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-02-01,23.6,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-03-01,22.72,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-04-01,27.16,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-05-01,26.37,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-06-01,21.54,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-07-01,19.89,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-08-01,18.09,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-09-01,19.69,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-10-01,25.2,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-11-01,26.38,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2000-12-01,26.53,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-01-01,24.92,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-02-01,23.41,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-03-01,28.5,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-04-01,28.13,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-05-01,22.94,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-06-01,20.94,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-07-01,22.32,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-08-01,21.86,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-09-01,35.07,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-10-01,32.72,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-11-01,26.63,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2001-12-01,23.72,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
2002-01-01,22.25,Index (implied volatility %),Yahoo Finance — ^VIX,Monthly (average of daily closes),CBOE Volatility Index — geopolitical and market uncertainty proxy
